text,label,clean_text,emoji_count,tweet_length,has_negation,emoji_count
بعد استقالة رئيس #المحكمة_الدستورية ننتظر استقالة #رئيس_القضاء #السودان,OBJ,استقالة رئيس # المحكمة_الدستورية ننتظر استقالة # رءيس_القضاء # السودان,0,10,0,0
أهنئ الدكتور أحمد جمال الدين، القيادي بحزب مصر، بمناسبة صدور أولى روايته,POS,هنا الدكتور محمد جمال الدين القيادي بحزب مصر بمناسبة صدور تولى روايته,0,12,0,0
البرادعي يستقوى بامريكا مرةاخرى و يرسل عصام العريان الي واشنطن شئ مقرف,NEG,الراعي ستقوم بامريكا مرةأخرى يرسل عصام الشريان الي واشنطن شء مقرف,0,11,0,0
#الحرية_والعدالة | شاهد الآن: #ليلة_الاتحادية أول فيلم استقصائي يتناول أسرار و كواليس تعرض لأول مرة حول حقيقة,OBJ,# الحرية_والعدالة | شاهد الآن : # ليلة_الاتحادية حول فيلم استقصاء يتناول أسرار كواليس تعرض لأول مرة حول حقيقة,0,19,0,0
الوالدة لو اقولها بخاطري حشيشة تضحك بس من اقولها ملل الله وكيلك تعطيني محاضرة عن الفسق والفجور بجنوب الشيشان #ليه كذا يانبع الحنان,NEUTRAL,الوالدة اقولها بخاطري حشيشة تضحك اقولها ملل الله وكيلك تعطيني محاضرة الفسق الفجور بجنوب الشيشان # ليه ينبع الحنان,0,19,0,0
#انتخبوا_العرص #انتخبوا_البرص #مرسى_رئيسى #اين_رئيسى #_ #__ö,NEUTRAL,# انتخبوا_العرص # انتخبوا_البرص # مرسى_رءيسى # اين_رءيسى # _ # __ö,0,12,0,0
امير عيد هو اللي فعلا يتقال عليه ستريكر صريح #كاريوكي #السكة_شمال,POS,امير عيد اللي فعلا يقال ستريكر صريح # كاريوكي # السكة_شمال,0,11,0,0
أحكي لكم قصة حدثت بين شاب و أحد الفتيات كان بينهم حب كبير ولكن حدثت غلطة واحدة؟ فهل ستستمر هذه القصة ويتم,OBJ,تحكي قصة حدثت شاب أحد الفتيات بينهم حب كبير حدثت غلطة واحدة فهل ستستمر القصة ويتم,0,16,0,0
أدعوكم لحضور الندوة الثقافية الأربعاء مركز اعداد القادة التفاصيل,OBJ,أدعوكم لحضور الندوة الثقافية الأربعاء مركز اعداد القادة التفاصيل,0,9,0,0
عودة جماعة الإخوان إلى الحياة السياسية بنفس وضعها السابق مستحيلة والطرمخة على جرائم الماضي لن تجعلنا نتقدم شبرا,NEG,عودة جماعة الأخوان على الحياة السياسية بنفس وضعها السابق مستحيلة والطريقة جرائم الماضي NEG_تجعلنا نتقدم شكرا,0,16,1,0
_ علاج السكري #اف_نتشورال #السعودية #العراق #اليمن #مصر #قطر #الكويت #عمان #سوريا #ليبيا 46,OBJ,_ علاج السكري # اف_نتشورال # السعودية # العراق # اليمن # مصر # قطر # الكويت # عمان # سوريا # ليبيا 46,0,24,0,0
الوطن | موجتان متعاقبتان لمقاومة صناعة الاستبداد (1-2) | عمرو حمزاوي:,OBJ,الوطن | زوجتان متطابقتان لمقاومة صناعة الاستبداد ( 1-2 ) | عمرو مزاجي :,0,14,0,0
شاهد - آخر كلام: إضراب العاملين بمصلحة الطب الشرعي #,OBJ,شاهد - آخر كلام : إضراب العاملين بمصلحة الطب الشرعي #,0,11,0,0
الصداقة تزرع الحياة أزهارًا #مي_زيادة,POS,الصداقة تزرع الحياة أزهار # مي_زيادة,0,6,0,0
الإصرار علي الإستفتاء في ظل وطن ممزق وغليان شعبي وغياب أمني وقضاء معطل واعلام محاصر هو انعدام للإحساس بالمسؤولية نحو مصر,NEG,الإصرار علي الاستفتاء ظل وطن ممزق غليان شعبي وغياب مني وقضاء معطل واعلم محاصر انعدام للإحساس بالمسؤولية مصر,0,18,0,0
#مصطفى_حسني #على_طريق_الله #روح_العبادة #الوضوء #كراسة_إياك_نعبد فرائض واركان الوضوء النية = نية التطهر من,OBJ,# مصطفى_حسني # على_طريق_الله # روح_العبادة # الضوء # كراسة_ءياك_نعبد فراء اركان الضوء النية = نية التطور,0,17,0,0
دضياء رشوان: أن الدكتور عبد المنعم أبو الفتوح الأكثر اعتدالاً سياسيًا وديننًا، كما أنه اجتهد فى مقاصد الشريعة,POS,ضياء روان : من الدكتور عبد المنعم بو المفتوح الأكثر اعتدال سياسيا ديننا إنه اجتهد فى مقاعد الشريعة,0,18,0,0
للبيادة نكهات عديدة - باسم يوسف :: بوابة الشروق :: نسخة الموبايل ::,OBJ,للقيادة نكهات عديدة - باسم يوسف : : بوابة الشروق : : نسخة الموبايل : :,0,16,0,0
د أبو الفتوح في العاشرة مساء : منصب رئيس الجمهورية منصب خدمي و أسعى لخدمة المصريين جميعا بالترشح لهذا المنصب,OBJ,بو المفتوح العاشرة : منصب رئيس الجمهورية منصب خدمي يسعى لخدمة المصريين جميعا بالترشح لهذا المنصب,0,16,0,0
انشاء مراكز أهلية وخاصة لتأهيل وتدريب المعلمين مع رفع مستوى الدخل للمعلمين حتى يتسنى لهم القيام بواجبهم,OBJ,انشاء مراكز أهلية وخاصة لتسهيل وتدريب المعلمين رفع مستوى الدخل للمعلمين يتسنى القيام بواجبهم,0,14,0,0
أدين بشدة تقديم كل صاحب رأي أو ناشط سياسي للمحاكمات العسكرية علي المجلس العسكري الالتزام بتعهده بعدم إحالة المدنيين لمحاكمات عسكرية,NEG,مدين بشدة تقديم صاحب راي هو ناشط سياسي المحاكمات العسكرية علي المجلس العسكري الالتزام بعهده بعدم حالة المدنيين المحاكمات عسكرية,0,20,0,0
"د عمار علي حسن,تحديات مسودة الدستور والانتخابات البرلمانية المقبلة #يوسف_الحسيني #…",OBJ,"عمار علي حسن , تحديات مسودة الدستور الانتخابات البرلمانية المقبلة # يوسف_الحسيني # من",0,14,0,0
مش هنسالك وانتا واقف جنبى بتطلب القصاص وكلاب الداخلية ضربوك بالرصاص #جيكا,NEUTRAL,مش NEG_هنسالك وانتا واقف جنب تطلب القصاص وكلاب الداخلية ضربوك بالرصاص # جيدا,0,13,1,0
1 العنف مدان، ضد منشآت عامة أو خاصة، ضد مجمع محاكم أو أقسام للشرطة أو مقر إعلامي حزبي كإخوان أون لاين، من الأجهزة الأمنية أو من المتظاهرين,NEG,1 العنف مدان ضد منشطات هو خاصة ضد مجمع محاكم هو أقسام للشرطة هو مقر إعلامي حزبي خوان دون لاين الأجهزة الأمنية هو المتظاهرين,0,24,0,0
اللي ما يعرفش يقول عدس,OBJ,اللي NEG_يعرفش يقول عدم,0,4,1,0
إلى زملائي المحامين الراغبين في الانضمام لمبادرة(سامعين صوتك)التى تهدف لدمج متحدي الاعاقه في المجتمع يسعدنا اشتراككم,POS,على زملائي المحامين الراغبين الانضمام لمبادرة ( لامعين صوتك ) التى تهدف لدمج متحدي الطاقه المجتمع يسعدنا اشتراكك,0,18,0,0
إآبني آلمستقبلي ^_^ تشرب #حشيش عآإدي = تصآإحب بنآإأإأت شغآل $$ = تضرب ابوكـ ومآالو :$ = = بس تطلع #زملكاوى هولع في أبوكــــــــــ -_-,NEUTRAL,ءءءبني المستقبلي ^_^ تشرب # حشيش عءءءدي = تصءءءحب بنءءءءءءت شغل $ $ = تضرب ابوك ومءءالو : $ = = تطلع # زملائى هولي أبوك -_-,0,27,0,0
هواجس العام الجديد - سادسنا كيف يرتقى الأداء المهنى لمجلس الشعب لمستوى توقعاتنا؟ - عمرو حمزاوي - بوابة الشروق,OBJ,هواجس العام الجديد - ساعدنا يرتدى الغداء المهنى لمجلس الشعب لمستوى توقعاتنا - عمرو مزاجي - بوابة الشروق,0,18,0,0
ماشاء الله، لا قوّة إلا بالله مؤشر بورصة #قطر يسجل أعلى مستوى في تاريخه #سحب_السفراء_من_قطر,OBJ,ماتشاء الله NEG_قوة لا بالله مؤشر بورصة # قطر يسجل على مستوى تاريخه # سحب_السفراء_من_قطر,0,15,1,0
هل هناك حضارة دون وجود المرأة؟ يجب أن نثق في قدرات المرأة فهي دائماً جزء من النجاح، من غير المرأة لن تكون هناك,POS,حضارة NEG_وجود المرة يجب من نثق قدرات المرة فهي دائما جزء النجاح NEG_المرءة NEG_تكون,0,14,1,0
سابحث غدا مع رئيس تشاد موقف البلدين من #سد_النهضة الإثيوبي #,OBJ,سابحث رئيس تشاد موقف البلدين # سد_النهضة الكيوبي #,0,9,0,0
"من كتاب دعوة للتعايش للدكتور عمرو خالد: ""إذا كان لدي دائرتي وفكري، ولديك دائرتك وفكرك ، وإذا ظللنا على بُعد ستبقى",OBJ,كتاب دعوة للتعايش للدكتور عمرو خالد : من هذا لدي دائرتي وفكري ولديك دائرتك وفكرت من وهذا ظللنا ستبقى,0,19,0,0
اللهم لا تحرمنا خير ما عندك بشر ما عندنا,OBJ,اللهم NEG_تحرمنا خير NEG_عندك بشر NEG_عندنا,0,6,1,0
"مؤتمر"" المفكرين"" في أبو ظبي :العالم يعيش ثورة العلم والتكنولوچيا والتواصل الإنساني ونحن نعيش حقبة الجهل والكذب وغياب القيم حزين عليك يا مصر",NEUTRAL,مؤتمر من المفكرين من بو ظبي : العالم يعيش ثورة العلم والتكنولوجيا والتواصل الإنساني ونحن نعيش حقبة الجهل والكذب وغياب القيم حزين مصر,0,23,0,0
انا لو نفسي اخطط و ارتب و اصرف فلوس الدنيا عشان اشوه الاخوان مش حاعرف اخترع حد زي صفوت حجازي,NEG,انا نفسي اخطط ارتب اصرف فلوس الدنيا عشان أشوه الاخوان مش NEG_حاعرف اخترع حد زي صوت مجازي,0,17,1,0
